Circuito	Mesa	Votos.nulos	Votos.en.blanco	Votos.recurridos	Votos.impugnados	HUMANISTA	GEN	PRIMERO.LA.GENTE	ENCUENTRO.VECINAL.CORDOBA	PAIS.1A	PAIS.2B	PAIS.3C	PAIS.4D	FRENTE.DE.IZQUIERDA.Y.DE.LOS.TRABAJADORES	SOMOS	UNION.POR.CORDOBA	FRENTE.CORDOBA.CIUDADANA	IZQUIERDA.AL.FRENTE.POR.EL.SOCIALISMO	CAMBIEMOS.506M	CAMBIEMOS.506R	long	lat	votos
0004A	11050	303	167	5	1	121	205	563	559	23	9	11	31	927	103	2279	1291	342	5142	1070	-64.1906463362	-31.4558228658	13152
0004B	11747	225	139	6	4	103	131	489	601	7	9	17	14	627	52	1497	1018	256	5007	1032	-64.1793485275	-31.4549981704	11234
0004C	4081	109	47	0	0	33	37	149	206	8	3	1	3	194	22	686	301	75	1209	184	-64.1972749996	-31.4781889279	3267
0004D	2114	20	25	0	0	9	15	114	161	1	0	3	2	72	9	142	120	29	959	159	-64.1809221569	-31.4929024167	1840
0004E	2163	81	30	3	0	13	10	45	25	2	4	2	5	98	19	477	159	43	384	62	-64.2123112713	-31.5044701587	1462
0005A	5928	122	76	0	0	32	34	100	84	16	11	9	14	194	40	1388	336	85	1028	120	-64.1050006495	-31.424770181	3689
0005B	2289	26	15	0	0	10	14	75	48	3	0	3	2	69	8	227	135	68	668	91	-64.1177189189	-31.4453147582	1462
0005C	21373	378	196	3	10	120	155	513	499	31	26	24	27	748	81	2699	1131	307	5184	852	-64.1274334108	-31.4323475884	12984
0005D	14982	252	157	2	2	63	64	191	188	25	11	21	17	426	66	2633	1017	146	1756	320	-64.1344172816	-31.4116885958	7357
0005E	5718	106	41	0	0	37	23	99	64	7	6	5	12	157	23	908	300	68	884	121	-64.0922482336	-31.4404204454	2861
0005F	6853	128	46	0	5	37	24	63	73	7	6	15	12	160	57	1502	368	86	591	116	-64.0937365161	-31.414758528	3296
0005G	22313	324	131	2	13	82	145	330	396	17	16	8	14	721	45	1834	1026	248	3919	675	-64.1552448134	-31.4222822842	9946
0005H	2729	31	36	0	1	12	10	23	18	6	2	1	4	57	8	431	211	20	195	39	-64.1066385411	-31.4325167182	1105
0005I	8340	131	67	1	0	36	30	125	82	8	9	13	6	230	26	1402	333	79	879	157	-64.0926526831	-31.4442940345	3614
0006B	581	9	0	0	0	1	0	7	1	2	0	1	0	3	0	54	15	1	40	12	-64.1020973683	-31.4024559239	146
0006C	20366	186	104	1	2	60	166	250	426	12	7	5	10	558	47	970	831	211	3746	753	-64.1682451256	-31.4107956838	8345
0006D	13805	125	80	3	0	50	79	165	245	4	4	3	5	411	35	655	638	114	2405	423	-64.1628046958	-31.4195902956	5444
0006E	4494	58	21	0	14	6	13	31	18	1	11	5	3	60	13	894	142	34	240	38	-64.0728603845	-31.402430155	1602
0006F	15780	211	77	10	1	50	66	145	160	11	5	5	8	358	191	1885	436	120	1474	413	-64.148006957	-31.4154849514	5626
0007A	12244	151	80	1	2	37	25	115	95	12	11	11	12	213	23	1505	406	92	1269	190	-64.1779422023	-31.3180976972	4250
0007B	47751	400	230	1	0	159	278	560	568	26	10	12	24	1109	82	2690	1827	451	6344	1237	-64.1838777151	-31.3847109528	16008
0007C	757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	1	-64.1959820858	-31.347130891	7
0007D	22388	152	71	3	0	51	125	247	303	8	2	3	14	467	62	742	739	213	2865	621	-64.187701672	-31.3962983538	6688
0007E	37328	289	147	2	0	138	193	381	404	21	13	14	21	846	131	2204	1292	312	4298	895	-64.1957214098	-31.3659185867	11601
0007F	20316	151	108	6	5	78	74	170	168	8	9	8	6	313	38	1441	519	168	2179	344	-64.1793632491	-31.3450552647	5793
0007G	32458	285	112	3	1	89	128	315	239	10	18	16	22	625	62	2047	857	286	3148	477	-64.1830849988	-31.3686624747	8740
0008A	10866	83	48	1	1	30	31	82	82	3	2	8	4	149	24	856	268	71	1061	140	-64.10524039	-31.3893908418	2944
0008B	54549	396	153	16	3	128	204	482	492	19	11	16	19	817	75	2757	1227	294	5241	864	-64.1606820966	-31.3997061205	13214
0008C	24550	212	75	6	16	62	99	203	165	6	12	14	4	354	38	1277	561	144	2459	330	-64.1348451525	-31.393490639	6037
0009A	15300	87	33	2	0	37	46	106	131	5	3	5	5	227	16	539	321	87	1673	231	-64.2142616113	-31.3699868622	3554
0009B	24948	118	70	2	4	45	105	185	277	10	5	10	6	336	34	796	524	118	2564	440	-64.2162988402	-31.379406297	5649
0009C	43952	272	137	5	5	130	132	308	343	10	7	16	14	582	90	2015	964	230	3841	619	-64.1970598144	-31.3781790046	9720
0009D	29862	151	71	0	0	69	114	265	288	13	1	3	7	384	45	863	632	197	3422	552	-64.2135053716	-31.3637806472	7077
0009E	16905	85	47	3	0	44	53	115	145	9	1	4	3	276	27	467	383	93	1466	266	-64.1984852759	-31.4005651581	3487
0009F	47365	277	115	4	3	100	135	318	446	16	7	14	10	671	68	1517	975	273	3908	716	-64.1985906329	-31.3900263797	9573
0009G	19008	80	68	1	1	32	76	133	201	5	3	5	7	246	26	481	382	91	1727	322	-64.2120195042	-31.3873291495	3887
0010A	18855	164	49	3	0	80	43	168	100	7	11	6	12	252	23	991	361	102	1282	211	-64.2500489826	-31.5024117773	3865
